Title,Expected,Passed,Error,Reason
The Lion King,Safe,True,,"Animated, family-friendly, positive messages"
Toy Story,Safe,True,,"Animated, family-friendly, no violence"
Finding Nemo,Safe,True,,"Animated, family-friendly, positive messages"
Shrek,Safe,True,,"Animated, family-friendly, cartoon violence only"
Home Alone,Safe,True,,"Family comedy, slapstick violence only"
The Incredibles,Safe,True,,"Animated, family-friendly, cartoon violence only"
Up,Safe,True,,"Animated, family-friendly, positive messages"
Coco,Safe,True,,"Animated, family-friendly, positive themes"
Frozen,Safe,True,,"Animated, family-friendly"
How to Train Your Dragon,Safe,True,,"Animated, family-friendly, fantasy violence only"
Toy Story 2,Safe,True,,"Animated, family-friendly"
Harry Potter and the Sorcerer's Stone,Safe,True,,"Family-friendly fantasy, mild violence only"
The Lord of the Rings: The Fellowship of the Ring,Safe,True,,"Fantasy adventure, epic violence but not graphic"
Star Wars: Episode IV - A New Hope,Safe,True,,"Fantasy adventure, classic heroic story"
The Avengers,Safe,True,,"Superhero action, fantasy violence only"
Avatar,Safe,True,,"Fantasy adventure, sci-fi action without explicit violence"
The Dark Knight,Not safe,True,,"Extreme graphic violence, disturbing imagery"
Pulp Fiction,Not safe,True,,"Strong violence, adult themes, strong profanity"
The Godfather,Not safe,True,,"Violence, adult themes, crime content"
The Matrix,Not safe,True,,"Violence, intense action scenes"
The Conjuring,Not safe,True,,"Horror genre, disturbing imagery"
Paranormal Activity,Not safe,True,,"Horror genre, frightening imagery"
The Terminator,Not safe,True,,"Violence, adult themes"
Die Hard,Not safe,True,,"Violence, intense action, adult themes"
Jurassic Park,Not safe,True,,"Intense violence, frightening imagery"
